timestamp,actual_kw,forecast_kw,error_kw,slot_type,month
2025-04-01 00:00:00,0.3,0.9438290804567735,0.6438290804567735,night,April
2025-04-01 00:15:00,0.28,0.9157245217267039,0.6357245217267039,night,April
2025-04-01 00:30:00,0.3,0.8773341136155877,0.5773341136155876,night,April
2025-04-01 00:45:00,0.3,0.9866772938991093,0.6866772938991093,night,April
2025-04-01 01:00:00,0.31,0.921553487664201,0.611553487664201,night,April
2025-04-01 01:15:00,0.31,0.924617000522009,0.6146170005220091,night,April
2025-04-01 01:30:00,0.3,0.8923409549026202,0.5923409549026202,night,April
2025-04-01 01:45:00,0.29,1.002237917829643,0.712237917829643,night,April
2025-04-01 02:00:00,0.27,0.9667182811663757,0.6967182811663757,night,April
2025-04-01 02:15:00,0.27,0.9137319642170052,0.6437319642170052,night,April
2025-04-01 02:30:00,0.3,0.8399562751434899,0.5399562751434899,night,April
2025-04-01 02:45:00,0.28,0.8119620107258864,0.5319620107258863,night,April
2025-04-01 03:00:00,0.31,0.8548007073461951,0.5448007073461951,night,April
2025-04-01 03:15:00,0.31,0.8897092544508595,0.5797092544508595,night,April
2025-04-01 03:30:00,0.31,0.8905185874461047,0.5805185874461047,night,April
2025-04-01 03:45:00,0.31,0.8461952896069584,0.5361952896069584,night,April
2025-04-01 04:00:00,0.3,0.7682118746684641,0.4682118746684641,night,April
2025-04-01 04:15:00,0.32,1.00694381465899,0.6869438146589899,night,April
2025-04-01 04:30:00,1.85,0.8605162737598522,-0.9894837262401479,night,April
2025-04-01 04:45:00,2.08,0.971257532369404,-1.108742467630596,night,April
2025-04-01 05:00:00,1.58,0.8380868651481632,-0.7419131348518369,night,April
2025-04-01 05:15:00,0.31,0.8047978395313738,0.49479783953137385,night,April
2025-04-01 05:30:00,0.32,0.8211055252433646,0.5011055252433645,night,April
2025-04-01 05:45:00,0.31,0.8011120016427961,0.49111200164279606,night,April
2025-04-01 06:00:00,0.29,0.9157930591069765,0.6257930591069765,day,April
2025-04-01 06:15:00,0.29,0.9568050643660424,0.6668050643660424,day,April
2025-04-01 06:30:00,0.27,0.8568812313885633,0.5868812313885633,day,April
2025-04-01 06:45:00,0.27,0.8791575904018764,0.6091575904018763,day,April
2025-04-01 07:00:00,0.3,0.8760562292936862,0.5760562292936862,day,April
2025-04-01 07:15:00,0.91,0.8476785346896931,-0.06232146531030691,day,April
2025-04-01 07:30:00,0.53,1.010614162113886,0.48061416211388597,day,April
2025-04-01 07:45:00,1.26,0.8862111496297631,-0.3737888503702369,day,April
2025-04-01 08:00:00,0.54,1.011031132890021,0.47103113289002096,day,April
2025-04-01 08:15:00,0.55,1.232081496705555,0.6820814967055548,day,April
2025-04-01 08:30:00,1.43,1.0647946781132476,-0.36520532188675237,day,April
2025-04-01 08:45:00,0.33,1.073295505135434,0.743295505135434,day,April
2025-04-01 09:00:00,0.92,1.428126841015153,0.508126841015153,day,April
2025-04-01 09:15:00,1.55,1.4252156753544372,-0.12478432464556288,day,April
2025-04-01 09:30:00,1.59,1.522694552438813,-0.06730544756118717,day,April
2025-04-01 09:45:00,0.65,1.648347877133448,0.9983478771334481,day,April
2025-04-01 10:00:00,0.96,2.425783812038739,1.465783812038739,day,April
2025-04-01 10:15:00,1.18,2.5719444501655264,1.3919444501655265,day,April
2025-04-01 10:30:00,1.51,2.442442018413049,0.9324420184130491,day,April
2025-04-01 10:45:00,0.5,2.5022986630357753,2.0022986630357753,day,April
2025-04-01 11:00:00,4.13,2.8651092070993576,-1.2648907929006423,day,April
2025-04-01 11:15:00,4.39,3.052952090425496,-1.3370479095745038,day,April
2025-04-01 11:30:00,4.71,3.1192986172114643,-1.5907013827885357,day,April
2025-04-01 11:45:00,5.4,3.143855013532551,-2.2561449864674494,day,April
2025-04-01 12:00:00,5.69,3.183555279773203,-2.5064447202267974,day,April
2025-04-01 12:15:00,3.26,3.208228028787715,-0.05177197121228483,day,April
2025-04-01 12:30:00,3.89,3.2630633529915993,-0.6269366470084008,day,April
2025-04-01 12:45:00,4.06,3.2149581054983685,-0.8450418945016311,day,April
2025-04-01 13:00:00,5.51,2.9410809702265435,-2.5689190297734563,day,April
2025-04-01 13:15:00,5.68,2.9358378848165714,-2.7441621151834283,day,April
2025-04-01 13:30:00,4.87,2.827499989921726,-2.042500010078274,day,April
2025-04-01 13:45:00,3.8,2.9123894016621286,-0.8876105983378713,day,April
2025-04-01 14:00:00,4.05,2.6516682594842376,-1.3983317405157623,day,April
2025-04-01 14:15:00,3.77,2.871235033278104,-0.8987649667218962,day,April
2025-04-01 14:30:00,4.6,2.8489888622720767,-1.751011137727923,day,April
2025-04-01 14:45:00,3.88,2.9465264648764413,-0.9334735351235586,day,April
2025-04-01 15:00:00,3.31,2.0328493155741603,-1.2771506844258398,day,April
2025-04-01 15:15:00,3.34,1.9946808437914982,-1.3453191562085016,day,April
2025-04-01 15:30:00,2.37,1.9622783592744715,-0.40772164072552863,day,April
2025-04-01 15:45:00,2.8,1.8906904010966579,-0.909309598903342,day,April
2025-04-01 16:00:00,2.54,1.293341563851229,-1.2466584361487711,day,April
2025-04-01 16:15:00,2.43,1.2304048956375078,-1.1995951043624924,day,April
2025-04-01 16:30:00,2.27,1.1635071809322188,-1.1064928190677812,day,April
2025-04-01 16:45:00,1.59,1.184862110205515,-0.40513788979448506,day,April
2025-04-01 17:00:00,1.47,0.9885286065952502,-0.48147139340474976,day,April
2025-04-01 17:15:00,1.15,1.0204785525228695,-0.12952144747713046,day,April
2025-04-01 17:30:00,0.95,1.046748602976171,0.09674860297617105,day,April
2025-04-01 17:45:00,0.82,1.1626560877347765,0.3426560877347765,day,April
2025-04-01 18:00:00,0.7,1.113853908372496,0.41385390837249614,day,April
2025-04-01 18:15:00,1.87,1.1458984185920957,-0.7241015814079044,day,April
2025-04-01 18:30:00,0.7,1.2064375917680314,0.5064375917680315,day,April
2025-04-01 18:45:00,0.48,1.0499096506498402,0.5699096506498402,day,April
2025-04-01 19:00:00,0.43,1.0612083892669433,0.6312083892669433,day,April
2025-04-01 19:15:00,0.39,1.1512384095736303,0.7612384095736303,day,April
2025-04-01 19:30:00,0.34,1.1991576315785002,0.8591576315785001,day,April
2025-04-01 19:45:00,0.37,1.219378925950826,0.8493789259508261,day,April
2025-04-01 20:00:00,0.3,1.229911737518553,0.929911737518553,day,April
2025-04-01 20:15:00,0.3,1.2276653430724713,0.9276653430724713,day,April
2025-04-01 20:30:00,0.29,1.3448731362869129,1.0548731362869128,day,April
2025-04-01 20:45:00,0.29,1.4166663061254827,1.1266663061254827,day,April
2025-04-01 21:00:00,0.26,1.4000738142857738,1.1400738142857738,day,April
2025-04-01 21:15:00,0.26,1.2292719240238736,0.9692719240238736,day,April
2025-04-01 21:30:00,0.5,1.1519892094661242,0.6519892094661242,day,April
2025-04-01 21:45:00,0.37,1.139137233977753,0.769137233977753,day,April
2025-04-01 22:00:00,0.4,1.207592316537669,0.8075923165376689,night,April
2025-04-01 22:15:00,0.4,1.1725039463025597,0.7725039463025597,night,April
2025-04-01 22:30:00,0.39,1.103314066145913,0.7133140661459131,night,April
2025-04-01 22:45:00,0.81,1.0735924613492822,0.26359246134928216,night,April
2025-04-01 23:00:00,0.42,1.010238669483566,0.5902386694835662,night,April
2025-04-01 23:15:00,0.32,1.1220091145248845,0.8020091145248844,night,April
2025-04-01 23:30:00,0.25,1.0849941430064807,0.8349941430064807,night,April
2025-04-01 23:45:00,0.29,1.0747628173510535,0.7847628173510535,night,April
2025-04-02 00:00:00,0.3,1.1205534833583424,0.8205534833583423,night,April
2025-04-02 00:15:00,0.3,1.1205534833583424,0.8205534833583423,night,April
2025-04-02 00:30:00,0.29,1.1189983688176133,0.8289983688176132,night,April
2025-04-02 00:45:00,0.28,1.0699418125907518,0.7899418125907518,night,April
2025-04-02 01:00:00,0.25,1.0838903113299707,0.8338903113299707,night,April
2025-04-02 01:15:00,0.25,1.0880580180507635,0.8380580180507635,night,April
2025-04-02 01:30:00,0.28,1.1657074025891256,0.8857074025891256,night,April
2025-04-02 01:45:00,0.29,1.1504488960475343,0.8604488960475343,night,April
2025-04-02 02:00:00,0.34,1.0845530901697658,0.7445530901697657,night,April
2025-04-02 02:15:00,0.36,1.1722055100249142,0.8122055100249143,night,April
2025-04-02 02:30:00,1.0,1.1395254325239412,0.13952543252394123,night,April
2025-04-02 02:45:00,0.31,1.1652435801111716,0.8552435801111715,night,April
2025-04-02 03:00:00,0.34,1.1093103915596936,0.7693103915596935,night,April
2025-04-02 03:15:00,2.4,0.977219101494146,-1.4227808985058539,night,April
2025-04-02 03:30:00,0.39,0.9750712300910713,0.5850712300910713,night,April
2025-04-02 03:45:00,0.39,0.9773367246838155,0.5873367246838155,night,April
2025-04-02 04:00:00,1.82,0.9955720916091572,-0.8244279083908429,night,April
2025-04-02 04:15:00,2.63,1.0220482674380151,-1.6079517325619848,night,April
2025-04-02 04:30:00,1.84,1.0018303007949487,-0.8381696992050514,night,April
2025-04-02 04:45:00,1.88,0.9689348078414114,-0.9110651921585885,night,April
2025-04-02 05:00:00,1.91,1.0485389209731204,-0.8614610790268795,night,April
2025-04-02 05:15:00,2.17,1.1408755644871118,-1.0291244355128881,night,April
2025-04-02 05:30:00,1.67,1.0282834521441069,-0.641716547855893,night,April
2025-04-02 05:45:00,0.33,1.0499140385485872,0.7199140385485872,night,April
2025-04-02 06:00:00,0.35,0.9367041609658833,0.5867041609658833,day,April
2025-04-02 06:15:00,0.35,0.9234008041641719,0.5734008041641719,day,April
2025-04-02 06:30:00,0.38,0.9942431517534743,0.6142431517534743,day,April
2025-04-02 06:45:00,0.29,1.0506750535996934,0.7606750535996933,day,April
2025-04-02 07:00:00,0.27,1.0150582813178697,0.7450582813178697,day,April
2025-04-02 07:15:00,0.25,1.078413096299182,0.828413096299182,day,April
2025-04-02 07:30:00,0.29,1.181943310740577,0.891943310740577,day,April
2025-04-02 07:45:00,0.25,1.093419421866936,0.843419421866936,day,April
2025-04-02 08:00:00,0.25,1.0851160333478738,0.8351160333478738,day,April
2025-04-02 08:15:00,0.25,1.095401747444195,0.845401747444195,day,April
2025-04-02 08:30:00,0.24,1.2096248219102692,0.9696248219102692,day,April
2025-04-02 08:45:00,0.22,1.112332516972029,0.8923325169720291,day,April
2025-04-02 09:00:00,0.21,1.6740995846898514,1.4640995846898515,day,April
2025-04-02 09:15:00,0.2,1.626488001637285,1.426488001637285,day,April
2025-04-02 09:30:00,0.25,1.6160557801274693,1.3660557801274693,day,April
2025-04-02 09:45:00,0.62,1.7061343442774173,1.0861343442774172,day,April
2025-04-02 10:00:00,0.62,2.3306830774610345,1.7106830774610344,day,April
2025-04-02 10:15:00,0.59,2.5075624110089443,1.9175624110089444,day,April
2025-04-02 10:30:00,0.62,2.734181916499996,2.1141819164999958,day,April
2025-04-02 10:45:00,0.65,2.6536128051758827,2.003612805175883,day,April
2025-04-02 11:00:00,1.76,2.7839561517895763,1.0239561517895763,day,April
2025-04-02 11:15:00,0.48,2.7887244069838815,2.3087244069838815,day,April
2025-04-02 11:30:00,1.12,2.7001459292999592,1.5801459292999591,day,April
2025-04-02 11:45:00,3.41,2.6122144343590903,-0.7977855656409099,day,April
2025-04-02 12:00:00,5.99,2.3686346188129543,-3.621365381187046,day,April
2025-04-02 12:15:00,6.0,2.7446720363649786,-3.2553279636350214,day,April
2025-04-02 12:30:00,6.0,2.883681072751264,-3.116318927248736,day,April
